,Name,Location,Contact Number,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
0,Angry Pete's Pizza,"9310 Fanita Pkwy Ste. G Santee, CA 92071",(619) 486-6093,Bussines hour: 7:00 AM -  4:00 PM Happy hour: Not Happy Hour Today deal: No Specials,Bussines hour: 8:00 AM -  4:00 PM Happy hour: 3:00 PM -  4:00 PM Today deal: No Specials,Bussines hour: 8:00 AM -  4:00 PM Happy hour: 3:00 PM -  4:00 PM Today deal: $10 Any Slice + Any Beer (except $10 beers),Bussines hour: 8:00 AM -  4:00 PM Happy hour: 3:00 PM -  4:00 PM Today deal: $10 Any Slice + Any Beer (except $10 beers),Bussines hour: 8:00 AM -  4:00 PM Happy hour: 3:00 PM -  4:00 PM Today deal: $10 Any Slice + Any Beer (except $10 beers),Bussines hour: 8:00 AM -  4:00 PM Happy hour: 3:00 PM -  4:00 PM Today deal: $10 Any Slice + Any Beer (except $10 beers),Bussines hour: 7:00 AM -  4:00 PM Happy hour: Not Happy Hour Today deal: $10 Any Slice + Any Beer (except $10 beers)
1,Doggos Gus,"1313 J Street San Diego, CA 92101",(619) 534-9315,Bussines hour: 2:00 PM -  8:00 PM Happy hour: 2:00 PM -  8:00 PM Today deal: $2 Off The Entire Menu - MUST use code: NEIGHBOR when ordering.,Bussines hour: 4:00 PM -  9:00 PM Happy hour: 4:00 PM -  9:00 PM Today deal: $2 Off The Entire Menu - MUST use code: NEIGHBOR when ordering.,Bussines hour: 3:00 PM -  8:00 PM Happy hour: 3:00 PM -  8:00 PM Today deal: $2 Off The Entire Menu - MUST use code: NEIGHBOR when ordering.,Bussines hour: 3:00 PM -  8:00 PM Happy hour: 3:00 PM -  8:00 PM Today deal: $2 Off The Entire Menu - MUST use code: NEIGHBOR when ordering.,Bussines hour: 3:00 PM -  8:00 PM Happy hour: 3:00 PM -  8:00 PM Today deal: $2 Off The Entire Menu - MUST use code: NEIGHBOR when ordering.,Bussines hour: 3:00 PM -  8:30 PM Happy hour: 3:00 PM -  8:30 PM Today deal: $2 Off The Entire Menu - MUST use code: NEIGHBOR when ordering.,Bussines hour: 2:00 PM -  8:30 PM Happy hour: 2:00 PM -  8:30 PM Today deal: $2 Off The Entire Menu - MUST use code: NEIGHBOR when ordering.
2,Half Door Brewing Co.,"903 Island Ave. San Diego, CA 92101",(619) 232-9845,Bussines hour: 10:00 AM - 12:00 AM Happy hour: Not Happy Hour Today deal: No Specials,Bussines hour: 11:00 AM - 12:00 AM Happy hour: 4:00 PM -  6:00 PM Today deal: No Specials,"Bussines hour: 11:00 AM - 12:00 AM Happy hour: 4:00 PM -  6:00 PM Today deal: $2 Off Cocktails / $5 House Beer / $6 Well Wine  $6 Fried Goat Cheese, Truffle Fries / $7 Pretzel Bites / $8 Mac & Cheese / $9 Sausage Flatbread ","Bussines hour: 11:00 AM - 12:00 AM Happy hour: 4:00 PM -  6:00 PM Today deal: $2 Off Cocktails / $5 House Beer / $6 Well Wine  $6 Fried Goat Cheese, Truffle Fries / $7 Pretzel Bites / $8 Mac & Cheese / $9 Sausage Flatbread ","Bussines hour: 11:00 AM - 12:00 AM Happy hour: 4:00 PM -  6:00 PM Today deal: $2 Off Cocktails / $5 House Beer / $6 Well Wine  $6 Fried Goat Cheese, Truffle Fries / $7 Pretzel Bites / $8 Mac & Cheese / $9 Sausage Flatbread ","Bussines hour: 11:00 AM -  2:00 AM Happy hour: 4:00 PM -  6:00 PM Today deal: $2 Off Cocktails / $5 House Beer / $6 Well Wine  $6 Fried Goat Cheese, Truffle Fries / $7 Pretzel Bites / $8 Mac & Cheese / $9 Sausage Flatbread ","Bussines hour: 10:00 AM -  2:00 AM Happy hour: Not Happy Hour Today deal: $2 Off Cocktails / $5 House Beer / $6 Well Wine  $6 Fried Goat Cheese, Truffle Fries / $7 Pretzel Bites / $8 Mac & Cheese / $9 Sausage Flatbread "
3,Las Hadas Bar & Grill,"558 Fourth Ave. San Diego, CA 92101",(619) 232-1720,Bussines hour: 12:00 PM - 12:00 AM Happy hour: Not Happy Hour Today deal: No Specials,Bussines hour: 3:00 PM -  1:00 AM Happy hour: 4:00 PM -  9:00 PM Today deal: No Specials,"Bussines hour: 3:00 PM -  1:00 AM Happy hour: 4:00 PM -  9:00 PM Today deal: $5 Mexican Beers, Cazadores & Patron Shots 1/2 Off All Cazadores Margaritas: Blood Orange, Call Her Rita, Carona- Rita, The Caddy Daddy, Fruit Cart or Watermelon ","Bussines hour: 3:00 PM -  1:00 AM Happy hour: Not Happy Hour Today deal: $5 Mexican Beers, Cazadores & Patron Shots 1/2 Off All Cazadores Margaritas: Blood Orange, Call Her Rita, Carona- Rita, The Caddy Daddy, Fruit Cart or Watermelon ","Bussines hour: 3:00 PM -  1:00 AM Happy hour: Not Happy Hour Today deal: $5 Mexican Beers, Cazadores & Patron Shots 1/2 Off All Cazadores Margaritas: Blood Orange, Call Her Rita, Carona- Rita, The Caddy Daddy, Fruit Cart or Watermelon ","Bussines hour: 3:00 PM -  1:00 AM Happy hour: Not Happy Hour Today deal: $10 Patron or Cazadores Margaritas 4:00 PM - 9:00 PM
$3 Taco: Chicken, Carnitas or Fish / $4 Taco: Shrimp or Veggie","Bussines hour: 12:00 PM - 12:00 AM Happy hour: Not Happy Hour Today deal: $10 Patron or Cazadores Margaritas 4:00 PM - 9:00 PM
$3 Taco: Chicken, Carnitas or Fish / $4 Taco: Shrimp or Veggie"
4,Las Tres Catrinas,"555 Broadway Suite 1084 Chula Vista, CA 91910",(619) 595-6096,Bussines hour: 9:00 AM -  9:00 PM Happy hour: Not Happy Hour Today deal: No Specials,Bussines hour: 11:00 AM -  9:00 PM Happy hour: 3:00 PM -  7:00 PM Today deal: No Specials,"Bussines hour: 11:00 AM -  9:00 PM Happy hour: 3:00 PM -  7:00 PM Today deal: $1 Off Draft Beer / $3 Paleta Shot / $5 House Margarita, Tequila Of The Month / $25 Dos XX Beer Tower Free Chips & Salsa / $3 Quesadilla La Diva / $4 Elote Ribs, Queso Dip / $6 Rolled Tacos, Catrinas' Guacamole, Empanadas, Queso Fundido, Catrinas' Kitchen Sink","Bussines hour: 11:00 AM -  9:00 PM Happy hour: 3:00 PM -  7:00 PM Today deal: $1 Off Draft Beer / $3 Paleta Shot / $5 House Margarita, Tequila Of The Month / $25 Dos XX Beer Tower Free Chips & Salsa / $3 Quesadilla La Diva / $4 Elote Ribs, Queso Dip / $6 Rolled Tacos, Catrinas' Guacamole, Empanadas, Queso Fundido, Catrinas' Kitchen Sink","Bussines hour: 11:00 AM -  1:00 AM Happy hour: 3:00 PM -  7:00 PM Today deal: $1 Off Draft Beer / $3 Paleta Shot / $5 House Margarita, Tequila Of The Month / $25 Dos XX Beer Tower Free Chips & Salsa / $3 Quesadilla La Diva / $4 Elote Ribs, Queso Dip / $6 Rolled Tacos, Catrinas' Guacamole, Empanadas, Queso Fundido, Catrinas' Kitchen Sink","Bussines hour: 11:00 AM - 11:00 PM Happy hour: 3:00 PM -  7:00 PM Today deal: $1 Off Draft Beer / $3 Paleta Shot / $5 House Margarita, Tequila Of The Month / $25 Dos XX Beer Tower Free Chips & Salsa / $3 Quesadilla La Diva / $4 Elote Ribs, Queso Dip / $6 Rolled Tacos, Catrinas' Guacamole, Empanadas, Queso Fundido, Catrinas' Kitchen Sink","Bussines hour: 10:00 AM - 11:00 PM Happy hour: Not Happy Hour Today deal: $1 Off Draft Beer / $3 Paleta Shot / $5 House Margarita, Tequila Of The Month / $25 Dos XX Beer Tower Free Chips & Salsa / $3 Quesadilla La Diva / $4 Elote Ribs, Queso Dip / $6 Rolled Tacos, Catrinas' Guacamole, Empanadas, Queso Fundido, Catrinas' Kitchen Sink"
5,Liberty Call Distilling & Restaurant,"1985 National Ave #1131 San Diego, CA 92113",(619) 432-1848,Bussines hour: 11:00 AM -  8:00 PM Happy hour: Not Happy Hour Today deal: No Specials,Bussines hour: 11:00 AM -  9:00 PM Happy hour: 4:00 PM -  6:00 PM Today deal: No Specials,"Bussines hour: 11:00 AM -  9:00 PM Happy hour: 4:00 PM -  6:00 PM Today deal: $2 Off All Draft Beer, Draft Cocktails, Sangria, Vodka, Rum, Bourbon & Well Drinks / $3 Off All Craft Cocktails $8 Ballpark Burger (1/3 lb. Wagyu Beef Patty, American Cheese, Onion Ring, BBQ Sauce on a Brioche Bun), Thai Cashew Wings (Five Tempura Battered Wings, Cajun Spice, Garlic, Thai Chili Glaze, topped w/Roasted Cashews, served w/side of Ranch), Birria Street Tacos (Two Braised Tri-Tip Tacos w/Cilantro, Onion, Limes & Salsa Verde), BBQ Flatbread (House Flatbread, Carnitas, Sausage, BBQ Sauce, Jack Cheese, Ranch Drizzle) / $10 Liberty Call Poutine (Hand Cut Fries, Queso Blanco Sauce, Demi-Glace, Cilantro, topped w/Choice of Birria or Carnitas)","Bussines hour: 11:00 AM -  9:00 PM Happy hour: 4:00 PM -  6:00 PM Today deal: $2 Off All Draft Beer, Draft Cocktails, Sangria, Vodka, Rum, Bourbon & Well Drinks / $3 Off All Craft Cocktails $8 Ballpark Burger (1/3 lb. Wagyu Beef Patty, American Cheese, Onion Ring, BBQ Sauce on a Brioche Bun), Thai Cashew Wings (Five Tempura Battered Wings, Cajun Spice, Garlic, Thai Chili Glaze, topped w/Roasted Cashews, served w/side of Ranch), Birria Street Tacos (Two Braised Tri-Tip Tacos w/Cilantro, Onion, Limes & Salsa Verde), BBQ Flatbread (House Flatbread, Carnitas, Sausage, BBQ Sauce, Jack Cheese, Ranch Drizzle) / $10 Liberty Call Poutine (Hand Cut Fries, Queso Blanco Sauce, Demi-Glace, Cilantro, topped w/Choice of Birria or Carnitas)","Bussines hour: 11:00 AM -  9:00 PM Happy hour: 4:00 PM -  6:00 PM Today deal: $2 Off All Draft Beer, Draft Cocktails, Sangria, Vodka, Rum, Bourbon & Well Drinks / $3 Off All Craft Cocktails $8 Ballpark Burger (1/3 lb. Wagyu Beef Patty, American Cheese, Onion Ring, BBQ Sauce on a Brioche Bun), Thai Cashew Wings (Five Tempura Battered Wings, Cajun Spice, Garlic, Thai Chili Glaze, topped w/Roasted Cashews, served w/side of Ranch), Birria Street Tacos (Two Braised Tri-Tip Tacos w/Cilantro, Onion, Limes & Salsa Verde), BBQ Flatbread (House Flatbread, Carnitas, Sausage, BBQ Sauce, Jack Cheese, Ranch Drizzle) / $10 Liberty Call Poutine (Hand Cut Fries, Queso Blanco Sauce, Demi-Glace, Cilantro, topped w/Choice of Birria or Carnitas)","Bussines hour: 11:00 AM -  9:00 PM Happy hour: 4:00 PM -  6:00 PM Today deal: $2 Off All Draft Beer, Draft Cocktails, Sangria, Vodka, Rum, Bourbon & Well Drinks / $3 Off All Craft Cocktails $8 Ballpark Burger (1/3 lb. Wagyu Beef Patty, American Cheese, Onion Ring, BBQ Sauce on a Brioche Bun), Thai Cashew Wings (Five Tempura Battered Wings, Cajun Spice, Garlic, Thai Chili Glaze, topped w/Roasted Cashews, served w/side of Ranch), Birria Street Tacos (Two Braised Tri-Tip Tacos w/Cilantro, Onion, Limes & Salsa Verde), BBQ Flatbread (House Flatbread, Carnitas, Sausage, BBQ Sauce, Jack Cheese, Ranch Drizzle) / $10 Liberty Call Poutine (Hand Cut Fries, Queso Blanco Sauce, Demi-Glace, Cilantro, topped w/Choice of Birria or Carnitas)","Bussines hour: 12:00 PM -  9:00 PM Happy hour: Not Happy Hour Today deal: $2 Off All Draft Beer, Draft Cocktails, Sangria, Vodka, Rum, Bourbon & Well Drinks / $3 Off All Craft Cocktails $8 Ballpark Burger (1/3 lb. Wagyu Beef Patty, American Cheese, Onion Ring, BBQ Sauce on a Brioche Bun), Thai Cashew Wings (Five Tempura Battered Wings, Cajun Spice, Garlic, Thai Chili Glaze, topped w/Roasted Cashews, served w/side of Ranch), Birria Street Tacos (Two Braised Tri-Tip Tacos w/Cilantro, Onion, Limes & Salsa Verde), BBQ Flatbread (House Flatbread, Carnitas, Sausage, BBQ Sauce, Jack Cheese, Ranch Drizzle) / $10 Liberty Call Poutine (Hand Cut Fries, Queso Blanco Sauce, Demi-Glace, Cilantro, topped w/Choice of Birria or Carnitas)"
6,McGregor's Ale House,"10475 San Diego Mission Rd. San Diego, CA 92108",(619) 282-9797,Bussines hour: 9:00 AM - 12:00 AM Happy hour: Not Happy Hour Today deal: No Specials,Bussines hour: 11:00 AM - 12:00 AM Happy hour: 4:00 PM -  6:00 PM Today deal: No Specials,"Bussines hour: 11:00 AM - 12:00 AM Happy hour: 4:00 PM -  6:00 PM Today deal: $1 Off All Drafts, Wells & House Wines $8 Select Appetizers","Bussines hour: 11:00 AM - 12:00 AM Happy hour: 4:00 PM -  6:00 PM Today deal: $1 Off All Drafts, Wells & House Wines $8 Select Appetizers","Bussines hour: 11:00 AM - 12:00 AM Happy hour: 4:00 PM -  6:00 PM Today deal: $1 Off All Drafts, Wells & House Wines $8 Select Appetizers","Bussines hour: 11:00 AM -  2:00 AM Happy hour: 4:00 PM -  6:00 PM Today deal: $1 Off All Drafts, Wells & House Wines $8 Select Appetizers","Bussines hour: 9:00 AM -  2:00 AM Happy hour: Not Happy Hour Today deal: $1 Off All Drafts, Wells & House Wines $8 Select Appetizers"
7,Mezé Greek Fusion,"345 Sixth Ave. San Diego, CA 92101",(619) 550-1600,"Bussines hour: 11:30 AM -  9:30 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $3 Off Wines By The Glass / $4 Select Bottled Greek Beers / $6 Draft Beer, Well Cocktails / $9 Premium Drinks (+$2 upgrade to Specialty) $6 Spreads w/Warm Pita Bread (Hummus, Tomato Basil Hummus, Cilantro Jalapeño Hummus, Baba Ghanoush, Tzatziki, Fiery Feta), Small Greek Salad / $7 Meze Fries, Meatballs, Falafel, Dolma (veg) / $8 Fiery Feta Mac & Cheese (+$2 add bacon), Spanakopita, Two Greek Taco Combo (Chicken, Gyro, Steak, Lamb or Falafel  | +$1 add grecamole)","Bussines hour: 11:30 AM -  9:30 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $3 Off Wines By The Glass / $4 Select Bottled Greek Beers / $6 Draft Beer, Well Cocktails / $9 Premium Drinks (+$2 upgrade to Specialty) $6 Spreads w/Warm Pita Bread (Hummus, Tomato Basil Hummus, Cilantro Jalapeño Hummus, Baba Ghanoush, Tzatziki, Fiery Feta), Small Greek Salad / $7 Meze Fries, Meatballs, Falafel, Dolma (veg) / $8 Fiery Feta Mac & Cheese (+$2 add bacon), Spanakopita, Two Greek Taco Combo (Chicken, Gyro, Steak, Lamb or Falafel  | +$1 add grecamole)","Bussines hour: 11:30 AM -  9:30 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $3 Off Wines By The Glass / $4 Select Bottled Greek Beers / $6 Draft Beer, Well Cocktails / $9 Premium Drinks (+$2 upgrade to Specialty) $6 Spreads w/Warm Pita Bread (Hummus, Tomato Basil Hummus, Cilantro Jalapeño Hummus, Baba Ghanoush, Tzatziki, Fiery Feta), Small Greek Salad / $7 Meze Fries, Meatballs, Falafel, Dolma (veg) / $8 Fiery Feta Mac & Cheese (+$2 add bacon), Spanakopita, Two Greek Taco Combo (Chicken, Gyro, Steak, Lamb or Falafel  | +$1 add grecamole)","Bussines hour: 11:30 AM -  9:30 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $3 Off Wines By The Glass / $4 Select Bottled Greek Beers / $6 Draft Beer, Well Cocktails / $9 Premium Drinks (+$2 upgrade to Specialty) $6 Spreads w/Warm Pita Bread (Hummus, Tomato Basil Hummus, Cilantro Jalapeño Hummus, Baba Ghanoush, Tzatziki, Fiery Feta), Small Greek Salad / $7 Meze Fries, Meatballs, Falafel, Dolma (veg) / $8 Fiery Feta Mac & Cheese (+$2 add bacon), Spanakopita, Two Greek Taco Combo (Chicken, Gyro, Steak, Lamb or Falafel  | +$1 add grecamole)","Bussines hour: 11:30 AM -  9:30 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $3 Off Wines By The Glass / $4 Select Bottled Greek Beers / $6 Draft Beer, Well Cocktails / $9 Premium Drinks (+$2 upgrade to Specialty) $6 Spreads w/Warm Pita Bread (Hummus, Tomato Basil Hummus, Cilantro Jalapeño Hummus, Baba Ghanoush, Tzatziki, Fiery Feta), Small Greek Salad / $7 Meze Fries, Meatballs, Falafel, Dolma (veg) / $8 Fiery Feta Mac & Cheese (+$2 add bacon), Spanakopita, Two Greek Taco Combo (Chicken, Gyro, Steak, Lamb or Falafel  | +$1 add grecamole)","Bussines hour: 11:30 AM - 12:00 AM Happy hour: 3:00 PM -  6:00 PM Today deal: $3 Off Wines By The Glass / $4 Select Bottled Greek Beers / $6 Draft Beer, Well Cocktails / $9 Premium Drinks (+$2 upgrade to Specialty) $6 Spreads w/Warm Pita Bread (Hummus, Tomato Basil Hummus, Cilantro Jalapeño Hummus, Baba Ghanoush, Tzatziki, Fiery Feta), Small Greek Salad / $7 Meze Fries, Meatballs, Falafel, Dolma (veg) / $8 Fiery Feta Mac & Cheese (+$2 add bacon), Spanakopita, Two Greek Taco Combo (Chicken, Gyro, Steak, Lamb or Falafel  | +$1 add grecamole)","Bussines hour: 11:30 AM - 12:00 AM Happy hour: Not Happy Hour Today deal: $3 Off Wines By The Glass / $4 Select Bottled Greek Beers / $6 Draft Beer, Well Cocktails / $9 Premium Drinks (+$2 upgrade to Specialty) $6 Spreads w/Warm Pita Bread (Hummus, Tomato Basil Hummus, Cilantro Jalapeño Hummus, Baba Ghanoush, Tzatziki, Fiery Feta), Small Greek Salad / $7 Meze Fries, Meatballs, Falafel, Dolma (veg) / $8 Fiery Feta Mac & Cheese (+$2 add bacon), Spanakopita, Two Greek Taco Combo (Chicken, Gyro, Steak, Lamb or Falafel  | +$1 add grecamole)"
8,My Yard Live Beer Co.,"288 Rancheros Road San Marcos, CA 92069",(760) 798-0779,"Bussines hour: 10:00 AM -  9:00 PM Happy hour: 4:00 PM -  5:30 PM Today deal: $4 Housemade Chips & Salsa / $5 Basket Of Fries / $8 Stacked Nachos, Cheesy Bacon Fries, Quesadilla, Petite A La Fresca Salad / $10 Beer-BQ Bird Dog / $11 Brew House Burger (1/3 lb)",Closed,Closed,Bussines hour: 12:00 PM -  9:00 PM Happy hour: 4:00 PM -  5:30 PM Today deal: Closed,"Bussines hour: 12:00 PM -  9:00 PM Happy hour: 4:00 PM -  5:30 PM Today deal: $4 Housemade Chips & Salsa / $5 Basket Of Fries / $8 Stacked Nachos, Cheesy Bacon Fries, Quesadilla, Petite A La Fresca Salad / $10 Beer-BQ Bird Dog / $11 Brew House Burger (1/3 lb)","Bussines hour: 12:00 PM - 10:00 PM Happy hour: 4:00 PM -  5:30 PM Today deal: $4 Housemade Chips & Salsa / $5 Basket Of Fries / $8 Stacked Nachos, Cheesy Bacon Fries, Quesadilla, Petite A La Fresca Salad / $10 Beer-BQ Bird Dog / $11 Brew House Burger (1/3 lb)","Bussines hour: 12:00 PM - 10:00 PM Happy hour: 4:00 PM -  5:30 PM Today deal: $4 Housemade Chips & Salsa / $5 Basket Of Fries / $8 Stacked Nachos, Cheesy Bacon Fries, Quesadilla, Petite A La Fresca Salad / $10 Beer-BQ Bird Dog / $11 Brew House Burger (1/3 lb)"
9,Rockin' Baja Lobster Coastal Cantina,"3890 Twiggs Street San Diego, CA 92110",(619) 260-0305,Bussines hour: 11:00 AM -  9:00 PM Happy hour: 11:00 AM -  9:00 PM Today deal: $10 Tropical Sangria,Bussines hour: 11:00 AM -  9:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $10 Tropical Sangria,"Bussines hour: 11:00 AM -  9:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $5.50 14oz. Draft Beers (+$1 Sculpin), Well Drinks, Fireball Shots / $6.50 Jameson Shot, House Margaritas: Lime, Strawberry, Mango, Red Raspberry / $7.50 Tito's Vodka, Wine by the Glass, Jack Daniels, 25oz. Draft Beer (+$1.50 Sculpin) / $8.50 Moscow Mule, Mai Tai, Tropical Sangria, Long Island Tea $5.50 Mexican Street Corn, Chili Lime Fries, Taco: Blackened Fish, Chingones or Short Rib / $6.50 Quesadilla Reyados, Guacamole & Chips, Street Tacos (4): Carne Asada, Grilled Chicken or Shredded Pork / $7.50 Nashville Hot Cauliflower, Queso Fundido, Cheese Quesadilla Especial / $8.50 Ahi Tuna Tostada, Tequila Lime Shrimp, Steamed Mussels w/Garlic Toast / $9.50 Bacon Wrapped Shrimp, Rockin' Works Burger & Fries, Lobster & Shrimp Bites, Carne Asada Fries, Crispy Calamari","Bussines hour: 11:00 AM -  9:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $5.50 14oz. Draft Beers (+$1 Sculpin), Well Drinks, Fireball Shots / $6.50 Jameson Shot, House Margaritas: Lime, Strawberry, Mango, Red Raspberry / $7.50 Tito's Vodka, Wine by the Glass, Jack Daniels, 25oz. Draft Beer (+$1.50 Sculpin) / $8.50 Moscow Mule, Mai Tai, Tropical Sangria, Long Island Tea $5.50 Mexican Street Corn, Chili Lime Fries, Taco: Blackened Fish, Chingones or Short Rib / $6.50 Quesadilla Reyados, Guacamole & Chips, Street Tacos (4): Carne Asada, Grilled Chicken or Shredded Pork / $7.50 Nashville Hot Cauliflower, Queso Fundido, Cheese Quesadilla Especial / $8.50 Ahi Tuna Tostada, Tequila Lime Shrimp, Steamed Mussels w/Garlic Toast / $9.50 Bacon Wrapped Shrimp, Rockin' Works Burger & Fries, Lobster & Shrimp Bites, Carne Asada Fries, Crispy Calamari","Bussines hour: 11:00 AM -  9:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $5.50 14oz. Draft Beers (+$1 Sculpin), Well Drinks, Fireball Shots / $6.50 Jameson Shot, House Margaritas: Lime, Strawberry, Mango, Red Raspberry / $7.50 Tito's Vodka, Wine by the Glass, Jack Daniels, 25oz. Draft Beer (+$1.50 Sculpin) / $8.50 Moscow Mule, Mai Tai, Tropical Sangria, Long Island Tea $5.50 Mexican Street Corn, Chili Lime Fries, Taco: Blackened Fish, Chingones or Short Rib / $6.50 Quesadilla Reyados, Guacamole & Chips, Street Tacos (4): Carne Asada, Grilled Chicken or Shredded Pork / $7.50 Nashville Hot Cauliflower, Queso Fundido, Cheese Quesadilla Especial / $8.50 Ahi Tuna Tostada, Tequila Lime Shrimp, Steamed Mussels w/Garlic Toast / $9.50 Bacon Wrapped Shrimp, Rockin' Works Burger & Fries, Lobster & Shrimp Bites, Carne Asada Fries, Crispy Calamari","Bussines hour: 11:00 AM - 10:00 PM Happy hour: 3:00 PM -  6:00 PM Today deal: $5.50 14oz. Draft Beers (+$1 Sculpin), Well Drinks, Fireball Shots / $6.50 Jameson Shot, House Margaritas: Lime, Strawberry, Mango, Red Raspberry / $7.50 Tito's Vodka, Wine by the Glass, Jack Daniels, 25oz. Draft Beer (+$1.50 Sculpin) / $8.50 Moscow Mule, Mai Tai, Tropical Sangria, Long Island Tea $5.50 Mexican Street Corn, Chili Lime Fries, Taco: Blackened Fish, Chingones or Short Rib / $6.50 Quesadilla Reyados, Guacamole & Chips, Street Tacos (4): Carne Asada, Grilled Chicken or Shredded Pork / $7.50 Nashville Hot Cauliflower, Queso Fundido, Cheese Quesadilla Especial / $8.50 Ahi Tuna Tostada, Tequila Lime Shrimp, Steamed Mussels w/Garlic Toast / $9.50 Bacon Wrapped Shrimp, Rockin' Works Burger & Fries, Lobster & Shrimp Bites, Carne Asada Fries, Crispy Calamari","Bussines hour: 11:00 AM - 10:00 PM Happy hour: 9:00 PM - 10:00 PM Today deal: $5.50 14oz. Draft Beers (+$1 Sculpin), Well Drinks, Fireball Shots / $6.50 Jameson Shot, House Margaritas: Lime, Strawberry, Mango, Red Raspberry / $7.50 Tito's Vodka, Wine by the Glass, Jack Daniels, 25oz. Draft Beer (+$1.50 Sculpin) / $8.50 Moscow Mule, Mai Tai, Tropical Sangria, Long Island Tea $5.50 Mexican Street Corn, Chili Lime Fries, Taco: Blackened Fish, Chingones or Short Rib / $6.50 Quesadilla Reyados, Guacamole & Chips, Street Tacos (4): Carne Asada, Grilled Chicken or Shredded Pork / $7.50 Nashville Hot Cauliflower, Queso Fundido, Cheese Quesadilla Especial / $8.50 Ahi Tuna Tostada, Tequila Lime Shrimp, Steamed Mussels w/Garlic Toast / $9.50 Bacon Wrapped Shrimp, Rockin' Works Burger & Fries, Lobster & Shrimp Bites, Carne Asada Fries, Crispy Calamari"
