Name,Location,Days,Hour,Deal
Andersens Danish Bakery,(1106 State Street),Monday – Sunday (closed Tuesdays),2:00 pm – 6:00 pm,"$7 Wine, $5 Beers, Appetizer Specials"
Augie's,(700 State Street),Monday – Thursday ,4:00 pm – 5:30 pm,Various Drink Special
Baja Sharkeez,(525 State Street),Monday – Friday ,3:00 pm – 7:00 pm,"Add $1 to any draft beer to make it a 22oz Schooner, add $1 to any well or premium cocktail to make it a 22oz double shot, double size cocktail"
Benchmark Eatery,(1201 State Street),Sunday – Thursday,3:00 – 6:00 pm,"$7 Beer, $7 Wine, $5.75 Well Cocktails, $2 Off Starters"
The Blue Owl,(5 W Canon Perdido Street),Tueday – Sunday,3:00 – 6:00 pm,"$7 Wine, $7 Beer, Appetizers Starting at $5"
Chase Bar & Grill,(1012 State Street),Monday – Friday ,4:00 pm – 7:00 pm,"$6.5 Wines, $4 Beers, $5 Well Cocktails, Food Specials Starting at $8"
Crush Bar & Tap,(1129 A State Street),Wednesay – Sunday,1:00 pm – 6:00 pm,"$6 Wine, $6 Beer, Snacks Starting at $6"
Corazon Comedor,(29 E Victoria Street),Tuesday – Sunday,3:00 pm – 5:00 pm,"$3.5 Beer, $8 Margaritas, $4.5 Chicken Tacos, $5.5 Beef Tacos"
The Cruisery,(501 State Street),Sunday – Friday,3:00 pm – 7:00 pm,Various Food & Drink Specials
Dargan’s,(18 E Ortega Street),Monday – Friday ,3:00 pm – 6:00 pm,"$1 Off Drinks, $8 Appetizers"
Eleven 14 Craft House & Kitchen,(1114 State Street),Monday – Friday,"3:14 pm – 6:14 pm, All Day Sunday","½ Off Burgers, Flat Breads & Bottles of Wine"
Eureka!,(601 Paseo Nuevo),Monday – Sunday,2:00 pm – 6:00 pm & 9:00 pm to Close,"$3 Hoppy Poppy, $2 Off Wine, Appetizers Starting at $5"
Finch & Fork,(31 W Carillo Street),Monday – Friday,4:00 pm – 6:00 pm,"$7 Cocktails, $5 Beer, $7 Wine, Snacks Starting at $4"
Foxtail Kitchen & Bar,(14 E Cota Street),Tuesday – Thursday,2:00 pm – 6:00 pm,"$8 Cocktails, $2 Off Beer, $3 Off Wine, $12 Falafel Burger, Fries, and Pint"
The Good Lion,(1212 State Street),Monday – Friday,4:00 pm – 6:00 pm,"Classic Negroni, Gin Gimlet, Dry Martini, Rotating Special Cocktail"
Holdren’s Steaks & Seafood,(512 State Street),Tuesday – Sunday,4:00 pm – 6:00 pm,"$3-$5 Beers, $6 Wine, $8 Cocktails, Appetizers Starting at $8"
Hibachi Steak House & Sushi Bar,(502 State Street),Sunday – Friday,5:00 pm – 7:00 pm,"$5 Rolls, $5 Starters, $7 Chicken Karaage, $5 Beer and Wine Beers"
Institution Ale Co.,(516 State Street),Tuesday – Thursday,11:00 am – 2:00 pm,$10 Lunch Size Pizza and Pint of Your Choice
Kyle’s Kitchen,(791 Chapala Street),Monday – Sunday,"3:00 pm – 5:00 pm, All Day Saturday","$15 Burger, Fries & Beer Combo, $4 Beer, $5 Wine"
La Paloma,(702 Anacapa Street),Monday – Friday,5:00 pm – 6:30 pm,"$8 Margaritas, Various Food Specials"
Milk & Honey Tapas,(30 W Anapamu Street),Tuesday – Saturday,"5:00 pm – 7:00 pm, Late Night Happy Hour Thursday-Saturday 9:00 pm -11:00 pm",Various Food & Drink Specials
Mosaic Locale,(1131 State Street),Monday – Thursday ,3:00 pm – 6:00 pm,$7 For 2 Empanadas & $1 Off Your First Pint
Night Lizard Brewing Company,(607 State Street),Tuesday – Friday,3:00 pm – 6:00 pm,$1 Off Beers
O’Malley’s,(523 State Street),Wednesday – Friday,6:00 pm – 10:00 pm,"$5 Cocktails, $4 Beers"
Old King’s Road,(532 1/2 State Street),Monday – Friday,4:00 pm – 7:00 pm,$1 Off Well Drinks & Beers
Patxi’s Pizza,(515 State Street),Monday – Sunday,2:00 pm – 6:00 pm,"$2 Off All Beers & Appetizers, $3 Off Wine"
The Red Piano,(519 State Street),Tuesday – Saturday ,5:00 pm – 7:00 pm,Various Drink Specials
Trattoria Vittoria,(30 E Victoria Street),Sunday – Thursday,5:00 pm – 7:00 pm,"$4 Beer, $6 Well Drinks, $5 Wine, $8 Antipasto Plates"
Sama Sama Kitchen,(1208 State Street),Tuesday – Friday,5:00 pm – 7:00 pm,"$5 Beer, $6 Wine, $6 Mule or Margarita, Appetizers Starting at $8"
Sandbar,(514 State Street),Monday – Sunday,4:00 pm – 8:00 pm,2 For 1 Drinks & ½ Off Appetizers
Scarlett Begonia,(21 W Victoria Street),Monday – Sunday,2:00 pm – 5:00 pm,"$5 Draft Beer, $Wine and Well Cocktails"
Secret Bao,(1201 Anacapa Street),Wednesday – Sunday,5:00 pm – 7:00 pm,"$5 Beer, $9 Wine, $9 Cocktails, $5 Pork Belly & KFC Bao, $10 Bulgogi, $9 Garlic Noodles"
Shaker Mill,(418 State Street),Monday – Friday,3:00 pm – 6:00 pm,Various Drink Specials
Villa Wine Bar & Kitchen,(618 Anacapa Street),Tuesday – Saturday,4:00 pm – 6:00 pm,"$7 Wine, $1 Off Beers"
Wildcat Lounge,(15 W Ortega Street),Monday – Sunday,"4:00 pm – 8:00 pm, Farm-To-Bar Tuesdays: 5:00 pm  - 8:00 pm",All Signature Drinks $8
Wine Therapy,(732 State Street),"Monday – Saturday,  Friday – Saturday",3:00 pm – 7:00 pm & 10:30 pm – 12:00 am,Various Drink Specials
